Supplier/vendor,Price(/sq mtr),Lead time(in days),Rating,Address and website avaiable,Response  Time(in hrs),Response Rate,Employee Strength,Annual Revenue(in mil),Min order
"Anping County Huihao Hardware Mesh Product Co., Ltd.",6,20,4,1,12,3,3,3.75,200
"Anping Yilida Metal Wire Mesh Co., Ltd.",17.49,14,6,1,12,3,75,2,1
Changzhou Zhongtian Fire-Proof Decorative She,15.6,17,3,1,60,0,90,1.5,500
"Foshan Aluno Metal Materials Co., Ltd.",53.5,11,1,1,12,3,75,7.5,1
"Foshan Beauty East Decoration Materials Co., Ltd.",10.15,1,5,1,12,3,75,7.5,200
Foshan Dexone Building Materials Ltd.,55,15,5,1,12,3,75,1.7,50
"Foshan GF Curtain Wall Co., Ltd.",175,30,5,0,12,3,30,7.5,10
"Foshan Hwarrior Curtain Wall Engineering Co., Ltd.",75.5,45,6,1,36,2,250,7.5,500
"Foshan Manybest Building Material Co., Ltd.",30.65,15,6,1,12,3,75,30,200
"Foshan Nanhai Top Metal Building Material Co., Ltd.",17.5,11,4,1,12,3,150,1.75,200
"Foshan Prima Hardware Products Co., Ltd.",60,30,5,1,12,3,150,3.75,300
"Foshan Shunde Sifon Industrial Co., Ltd.",9,25,4,1,60,2,75,7.5,900
"Foshan Sunmei Composite Materials Co., Ltd.",37,11,4,0,75,0,0,0.65,50
"Foshan X&Y Terracotta Panel Manufacturing Co., Ltd",53,7,4,1,12,3,400,100,20
Foshan Yigo Hardware Limited,40,33,6,1,12,3,30,0,10
"Guangdong Na-View Commercial Investment Co., Ltd.",25,30,3,1,12,3,75,30,100
"Guangdong Reinalite Industrial Co., Ltd.",50,13,4,1,12,3,250,30,100
"Guangxi Fumeiyao Energy-Saving Windows & Doors Co., Ltd.",120,25,5,1,12,3,75,0,1
"Guangzhou A.C.T Products Co., Ltd.",35,15,6,1,12,3,150,7.5,1
"Guangzhou Apro Building Material Co., Ltd.",140,40,6,0,12,3,32,1.75,1
"Guangzhou Wega Building Decoration Engineering Co., Ltd.",110,30,0,1,0,2,30,1.75,50
"Guangzhou Yiwei Decorative Materials Co., Ltd.",50.5,0,3,1,60,2,3,100,200
"Henan Jixiang Industry Co., Ltd.",10,13,3,1,12,0,1550,13,200
"Hubei Bin Hua Technology Co., Ltd.",9.4,7,4,1,12,3,150,0.5,200
Huizhou Meisen Board Co. Ltd,6.66,13,3,1,12,0,85,0,1
"Hwarrior Curtain Wall Engineering (Guangzhou) Co., Ltd.",200,45,3,1,60,2,3,100,200
Jiangmen City Jinyi Safety Energy-Saving Glass Ltd,14.1,17,3,1,60,0,90,1.5,500
"Jiangsu Aluwedo Aluminum Composite Panel Co., Ltd.(1)",13.7,17,3,1,60,0,90,1.5,500
"Jiangsu Jiashida Decorative Materials Co., Ltd.",13.4,17,3,1,60,0,90,1.5,500
"Jiangsu Jingtai Glass Co., Ltd",190,11,4,1,32,3,125,13,100
"Jiangxi Zhongsheng Terracotta Panels Co., Ltd.",25,25,1,1,36,3,150,100,20000
"Jiangyin Longguang Aluminum Industry Co., Ltd.",35,15,5,1,12,2,75,3.75,50
Jun-en Metal Mesh (Kushan) Co. Ltd,30,23,3,1,12,0,175,13,100
"KM-PX Hardware Products Co., Ltd",5,0,3,1,12,3,125,1.5,10
LEIYUAN INDUSTRIAL COMPANY LIMITED,36.605,35,5,1,36,2,150,7.5,1500
Longshida Holding Group Co. Ltd,8.5,30,4,1,12,3,425,0,500
"Qingdao Rocky Industry Co., Ltd.",125,50,4,1,36,3,425,93,10
"Qingdao Wintop International Trade Co., Ltd.",13.1,17,3,1,60,0,90,1.5,500
Qinhuangdao Aohong Glass Limited Company,170,38,4,1,36,3,425,92,10
"Shandong Taixin Technology Group Co., Ltd.",24,0,0,1,12,3,400,100,1000
"Shenzhen Bhgood Board Co., Ltd.",14.6,17,3,1,60,0,90,1.5,500
"Sichuan Yonghong Oudian Building Decoration Engineering Co., Ltd.",55,19,0,1,0,0,150,0,300
Taian Zhuoyue Laser Ltd.,27.5,18,5,0,12,3,150,0,10
"Tangshan Qimingxing Glass Deep-Processing Co., Ltd.",100,30,5,1,12,3,1000,1.75,100
"Yong Li Jian Aluminium Engineering Co., Ltd.",210,18,5,1,12,3,1000,1.75,100
"Zhaoqing Joinbling New Building Materials Co., Ltd.",10.5,0,3,1,12,3,150,30,200
"Zhejiang Gaoming Curtain Wall Engineering Co., Ltd",152,50,4,1,12,3,425,92,50
"Zhejiang Gaoming Glass Co., Ltd.",105,30,5,1,36,2,150,7.5,1
